trade_date,start_close,natural_days_to_5pct_high_low_move,breach_date,breach_side,breach_high,breach_low,upper_bound,lower_bound
2016-08-05,8505.36,13,2016-08-17,up,8933.03,8846.32,8930.63,8080.09
2016-08-08,8607.40,79,2016-10-25,up,9039.95,9001.11,9037.77,8177.03
2016-08-09,8699.39,98,2016-11-14,up,9162.30,9093.46,9134.36,8264.42
2016-08-10,8671.78,94,2016-11-11,up,9121.61,9064.25,9105.37,8238.19
2016-08-11,8531.69,28,2016-09-07,up,8959.99,8886.79,8958.27,8105.11
2016-08-12,8615.05,84,2016-11-03,up,9055.51,8914.68,9045.80,8184.30
2016-08-15,8807.83,101,2016-11-23,up,9257.17,9161.52,9248.22,8367.44
2016-08-16,8877.07,119,2016-12-12,down,8879.45,8391.03,9320.92,8433.22
2016-08-17,8911.75,118,2016-12-12,down,8879.45,8391.03,9357.34,8466.16
2016-08-18,8908.32,117,2016-12-12,down,8879.45,8391.03,9353.74,8462.90
2016-08-19,8923.36,116,2016-12-12,down,8879.45,8391.03,9369.53,8477.19
2016-08-22,8810.84,94,2016-11-23,up,9257.17,9161.52,9251.38,8370.30
2016-08-23,8820.21,113,2016-12-13,down,8458.32,8299.28,9261.22,8379.20
2016-08-24,8850.51,111,2016-12-12,down,8879.45,8391.03,9293.04,8407.98
2016-08-25,8784.58,84,2016-11-16,up,9236.68,9202.18,9223.81,8345.35
2016-08-26,8814.46,90,2016-11-23,up,9257.17,9161.52,9255.18,8373.74
2016-08-29,8836.99,106,2016-12-12,down,8879.45,8391.03,9278.84,8395.14
2016-08-30,8838.46,105,2016-12-12,down,8879.45,8391.03,9280.38,8396.54
2016-08-31,8838.38,104,2016-12-12,down,8879.45,8391.03,9280.30,8396.46
2016-09-01,8770.75,77,2016-11-16,up,9236.68,9202.18,9209.29,8332.21
2016-09-02,8724.94,74,2016-11-14,up,9162.30,9093.46,9161.19,8288.69
2016-09-05,8761.96,73,2016-11-16,up,9236.68,9202.18,9200.06,8323.86
2016-09-06,8906.87,98,2016-12-12,down,8879.45,8391.03,9352.21,8461.53
2016-09-07,8897.80,97,2016-12-12,down,8879.45,8391.03,9342.69,8452.91
2016-09-08,8938.43,20,2016-09-27,down,8604.55,8477.80,9385.35,8491.51
