日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2016-11-07,09:30:00,股票,通源石油(300164.XSHE),买,市价单,137600股,8.42,1158592,137600股,-,0,347.58,全部成交,2016-11-07 09:30:00
2016-11-28,09:30:00,股票,丰原药业(000153.XSHE),卖,市价单,-92200股,12.98,-1196756,-92200股,-,153052,1555.78,全部成交,2016-11-28 09:30:00
2016-11-28,09:30:00,股票,通源石油(300164.XSHE),卖,市价单,-137600股,9.78,-1345728,-137600股,-,187136,1749.45,全部成交,2016-11-28 09:30:00
2016-11-28,09:30:00,股票,万向德农(600371.XSHG),买,市价单,72400股,17.52,1268448,72400股,-,0,380.53,全部成交,2016-11-28 09:30:00
2016-11-28,09:30:00,股票,弘业股份(600128.XSHG),买,市价单,79200股,16,1267200,79200股,-,0,380.16,全部成交,2016-11-28 09:30:00
2016-12-05,09:30:00,股票,万向德农(600371.XSHG),卖,市价单,-72400股,17.5,-1267000,-72400股,-,-1448,1647.1,全部成交,2016-12-05 09:30:00
2016-12-05,09:30:00,股票,青龙管业(002457.XSHE),买,市价单,110600股,11.44,1265264,110600股,-,0,379.58,全部成交,2016-12-05 09:30:00
2016-12-12,09:30:00,股票,青龙管业(002457.XSHE),卖,市价单,-110600股,11.56,-1278536,-110600股,-,13272,1662.1,全部成交,2016-12-12 09:30:00
2016-12-12,09:30:00,股票,晓程科技(300139.XSHE),买,市价单,91000股,14.02,1275820,91000股,-,0,382.75,全部成交,2016-12-12 09:30:00
2016-12-19,09:30:00,股票,福建水泥(600802.XSHG),卖,市价单,-131500股,9.98,-1312370,-131500股,-,42080,1706.08,全部成交,2016-12-19 09:30:00
2016-12-19,09:30:00,股票,青龙管业(002457.XSHE),买,市价单,115900股,11.32,1311988,115900股,-,0,393.6,全部成交,2016-12-19 09:30:00
2016-12-26,09:30:00,股票,青龙管业(002457.XSHE),卖,市价单,-115900股,11.22,-1300398,-115900股,-,-11590,1690.52,全部成交,2016-12-26 09:30:00
2016-12-26,09:30:00,股票,金花股份(600080.XSHG),买,市价单,107400股,12.08,1297392,107400股,-,0,389.22,全部成交,2016-12-26 09:30:00
2017-01-16,09:30:00,股票,金花股份(600080.XSHG),卖,市价单,-107400股,12.22,-1312428,-107400股,-,15036,1706.16,全部成交,2017-01-16 09:30:00
2017-01-16,09:30:00,股票,青龙管业(002457.XSHE),买,市价单,116800股,11.22,1310496,116800股,-,0,393.15,全部成交,2017-01-16 09:30:00
2017-01-23,09:30:00,股票,青龙管业(002457.XSHE),卖,市价单,-116800股,10.8,-1261440,-116800股,-,-49056,1639.87,全部成交,2017-01-23 09:30:00
2017-01-23,09:30:00,股票,金花股份(600080.XSHG),买,市价单,109400股,11.52,1260288,109400股,-,0,378.09,全部成交,2017-01-23 09:30:00
2017-02-20,09:30:00,股票,弘业股份(600128.XSHG),卖,市价单,-79200股,14.98,-1186416,-79200股,-,-80784,1542.34,全部成交,2017-02-20 09:30:00
2017-02-20,09:30:00,股票,茂硕电源(002660.XSHE),买,市价单,90300股,13.1,1182930,90300股,-,0,354.88,全部成交,2017-02-20 09:30:00
2017-02-27,09:30:00,股票,茂硕电源(002660.XSHE),卖,市价单,-90300股,13.48,-1217244,-90300股,-,34314,1582.42,全部成交,2017-02-27 09:30:00
2017-02-27,09:30:00,股票,弘业股份(600128.XSHG),买,市价单,81100股,15,1216500,81100股,-,0,364.95,全部成交,2017-02-27 09:30:00
2017-03-06,09:30:00,股票,兰州民百(600738.XSHG),卖,市价单,-111100股,9.98,-1108778,-111100股,-,168872,1441.41,全部成交,2017-03-06 09:30:00
2017-03-06,09:30:00,股票,茂硕电源(002660.XSHE),买,市价单,84900股,13.02,1105398,84900股,-,0,331.62,全部成交,2017-03-06 09:30:00
2017-03-13,09:30:00,股票,晓程科技(300139.XSHE),卖,市价单,-91000股,13.3,-1210300,-91000股,-,-65520,1573.39,全部成交,2017-03-13 09:30:00
2017-03-13,09:30:00,股票,兰州民百(600738.XSHG),买,市价单,123200股,9.83,1211056,123200股,-,0,363.32,全部成交,2017-03-13 09:30:00
2017-03-20,09:30:00,股票,茂硕电源(002660.XSHE),卖,市价单,-84900股,13.28,-1127472,-84900股,-,22074,1465.71,全部成交,2017-03-20 09:30:00
2017-03-20,09:30:00,股票,晓程科技(300139.XSHE),买,市价单,83700股,13.42,1123254,83700股,-,0,336.98,全部成交,2017-03-20 09:30:00
2017-03-27,09:30:00,股票,兰州民百(600738.XSHG),卖,市价单,-123200股,10.09,-1243088,-123200股,-,32032,1616.01,全部成交,2017-03-27 09:30:00
2017-03-27,09:30:00,股票,茂硕电源(002660.XSHE),买,市价单,93200股,13.32,1241424,93200股,-,0,372.43,全部成交,2017-03-27 09:30:00
2017-04-05,09:30:00,股票,金花股份(600080.XSHG),卖,市价单,-109400股,11.48,-1255912,-109400股,-,-4376,1632.69,全部成交,2017-04-05 09:30:00
