日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2021-08-02,09:30:00,基金,纳指ETF(513100.XSHG),卖,市价单,-25500股,4.962,-126531,-25500股,-,-1734,18.98,全部成交,2021-08-02 09:30:00
2021-08-02,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,34400股,3.685,126764,34400股,-,0,19.01,全部成交,2021-08-02 09:30:00
2021-08-03,09:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-34400股,3.682,-126660.8,-34400股,-,-103.2,19,全部成交,2021-08-03 09:30:00
2021-08-03,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,25500股,4.96,126480,25500股,-,0,18.97,全部成交,2021-08-03 09:30:00
2021-08-05,09:30:00,基金,纳指ETF(513100.XSHG),卖,市价单,-25500股,5.003,-127576.5,-25500股,-,1096.5,19.14,全部成交,2021-08-05 09:30:00
2021-08-05,09:30:00,基金,创业板ETF易方达(159915.XSHE),买,市价单,37100股,3.44,127624,37100股,-,0,19.14,全部成交,2021-08-05 09:30:00
2021-08-11,09:30:00,基金,创业板ETF易方达(159915.XSHE),卖,市价单,-37100股,3.355,-124470.5,-37100股,-,-3153.5,18.67,全部成交,2021-08-11 09:30:00
2021-08-11,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,24800股,5.019,124471.2,24800股,-,0,18.67,全部成交,2021-08-11 09:30:00
2021-09-13,09:30:00,基金,纳指ETF(513100.XSHG),卖,市价单,-24800股,5.099,-126455.2,-24800股,-,1984,18.97,全部成交,2021-09-13 09:30:00
2021-09-13,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,34700股,3.64,126308,34700股,-,0,18.95,全部成交,2021-09-13 09:30:00
2021-09-17,09:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-34700股,3.596,-124781.2,-34700股,-,-1526.8,18.72,全部成交,2021-09-17 09:30:00
2021-09-17,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,24400股,5.113,124757.2,24400股,-,0,18.71,全部成交,2021-09-17 09:30:00
2021-09-28,09:30:00,基金,纳指ETF(513100.XSHG),卖,市价单,-24400股,5.034,-122829.6,-24400股,-,-1927.6,18.42,全部成交,2021-09-28 09:30:00
2021-09-28,09:30:00,基金,50ETF(510050.XSHG),买,市价单,37900股,3.243,122909.7,37900股,-,0,18.44,全部成交,2021-09-28 09:30:00
2021-10-18,09:30:00,基金,50ETF(510050.XSHG),卖,市价单,-37900股,3.334,-126358.6,-37900股,-,3448.9,18.95,全部成交,2021-10-18 09:30:00
2021-10-18,09:30:00,基金,创业板ETF易方达(159915.XSHE),买,市价单,39700股,3.178,126166.6,39700股,-,0,18.92,全部成交,2021-10-18 09:30:00
2021-10-25,09:30:00,基金,创业板ETF易方达(159915.XSHE),卖,市价单,-39700股,3.182,-126325.4,-39700股,-,158.8,18.95,全部成交,2021-10-25 09:30:00
2021-10-25,09:30:00,基金,50ETF(510050.XSHG),买,市价单,37900股,3.337,126472.3,37900股,-,0,18.97,全部成交,2021-10-25 09:30:00
2021-10-26,09:30:00,基金,50ETF(510050.XSHG),卖,市价单,-37900股,3.356,-127192.4,-37900股,-,720.1,19.08,全部成交,2021-10-26 09:30:00
2021-10-26,09:30:00,基金,创业板ETF易方达(159915.XSHE),买,市价单,39000股,3.256,126984,39000股,-,0,19.05,全部成交,2021-10-26 09:30:00
2021-10-29,09:30:00,基金,创业板ETF易方达(159915.XSHE),卖,市价单,-39000股,3.186,-124254,-39000股,-,-2730,18.64,全部成交,2021-10-29 09:30:00
2021-10-29,09:30:00,基金,50ETF(510050.XSHG),买,市价单,37800股,3.289,124324.2,37800股,-,0,18.65,全部成交,2021-10-29 09:30:00
2021-11-01,09:30:00,基金,50ETF(510050.XSHG),卖,市价单,-37800股,3.284,-124135.2,-37800股,-,-189,18.62,全部成交,2021-11-01 09:30:00
2021-11-01,09:30:00,基金,创业板ETF易方达(159915.XSHE),买,市价单,38200股,3.245,123959,38200股,-,0,18.59,全部成交,2021-11-01 09:30:00
2021-11-05,09:30:00,基金,创业板ETF易方达(159915.XSHE),卖,市价单,-38200股,3.243,-123882.6,-38200股,-,-76.4,18.58,全部成交,2021-11-05 09:30:00
2021-11-05,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,23000股,5.375,123625,23000股,-,0,18.54,全部成交,2021-11-05 09:30:00
2021-11-30,09:30:00,基金,纳指ETF(513100.XSHG),卖,市价单,-23000股,5.377,-123671,-23000股,-,46,18.55,全部成交,2021-11-30 09:30:00
2021-11-30,09:30:00,基金,创业板ETF易方达(159915.XSHE),买,市价单,36500股,3.395,123917.5,36500股,-,0,18.59,全部成交,2021-11-30 09:30:00
2021-12-08,09:30:00,基金,创业板ETF易方达(159915.XSHE),卖,市价单,-36500股,3.266,-119209,-36500股,-,-4708.5,17.88,全部成交,2021-12-08 09:30:00
2021-12-08,09:30:00,基金,50ETF(510050.XSHG),买,市价单,36600股,3.259,119279.4,36600股,-,0,17.89,全部成交,2021-12-08 09:30:00
2022-01-07,09:30:00,基金,50ETF(510050.XSHG),卖,市价单,-36600股,3.199,-117083.4,-36600股,-,-2196,17.56,全部成交,2022-01-07 09:30:00
2022-01-07,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,32500股,3.598,116935,32500股,-,0,17.54,全部成交,2022-01-07 09:30:00
2022-03-28,09:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-32500股,3.906,-126945,-32500股,-,10010,19.04,全部成交,2022-03-28 09:30:00
2022-03-28,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,132500股,0.959,127067.5,132500股,-,0,19.06,全部成交,2022-03-28 09:30:00
2022-04-25,09:30:00,基金,纳指ETF(513100.XSHG),卖,市价单,-132500股,0.885,-117262.5,-132500股,-,-9805,17.59,全部成交,2022-04-25 09:30:00
2022-04-25,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,29800股,3.924,116935.2,29800股,-,0,17.54,全部成交,2022-04-25 09:30:00
2022-05-30,09:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-29800股,3.893,-116011.4,-29800股,-,-923.8,17.4,全部成交,2022-05-30 09:30:00
2022-05-30,09:30:00,基金,创业板ETF易方达(159915.XSHE),买,市价单,51400股,2.262,116266.8,51400股,-,0,17.44,全部成交,2022-05-30 09:30:00
2022-07-21,09:30:00,基金,创业板ETF易方达(159915.XSHE),卖,市价单,-51400股,2.674,-137443.6,-51400股,-,21176.8,20.62,全部成交,2022-07-21 09:30:00
