"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2017年7月14日","1,745.57","1,771.33","1,771.33","1,742.22","1.44B","-1.87%"
"2017年7月13日","1,778.86","1,784.26","1,786.22","1,774.78","897.34M","-0.44%"
"2017年7月12日","1,786.75","1,779.90","1,788.69","1,764.10","1.13B","0.16%"
"2017年7月11日","1,783.91","1,799.52","1,804.72","1,783.91","1.16B","-1.07%"
"2017年7月10日","1,803.25","1,831.37","1,831.37","1,803.23","1.24B","-1.75%"
"2017年7月7日","1,835.44","1,833.88","1,836.78","1,828.72","1.13B","-0.19%"
"2017年7月6日","1,839.00","1,835.81","1,844.20","1,823.37","1.53B","0.13%"
"2017年7月5日","1,836.63","1,827.26","1,836.66","1,820.96","1.22B","0.39%"
"2017年7月4日","1,829.51","1,833.89","1,834.24","1,823.85","1.22B","-0.35%"
"2017年7月3日","1,835.99","1,818.20","1,836.49","1,816.03","1.40B","0.99%"
"2017年6月30日","1,818.07","1,808.08","1,819.88","1,802.61","897.12M","0.25%"
"2017年6月29日","1,813.55","1,808.29","1,822.82","1,807.62","1.02B","0.30%"
"2017年6月28日","1,808.20","1,817.43","1,818.11","1,802.38","911.82M","-0.64%"
"2017年6月27日","1,819.93","1,821.37","1,830.22","1,816.66","924.57M","-0.07%"
"2017年6月26日","1,821.28","1,805.88","1,821.28","1,801.21","983.07M","0.77%"
"2017年6月23日","1,807.43","1,794.50","1,807.43","1,776.60","1.09B","0.50%"
"2017年6月22日","1,798.38","1,821.84","1,828.80","1,798.38","1.21B","-1.44%"
"2017年6月21日","1,824.69","1,827.89","1,829.40","1,810.04","1.28B","0.20%"
"2017年6月20日","1,820.98","1,818.69","1,833.94","1,818.69","1.23B","0.25%"
"2017年6月19日","1,816.40","1,809.51","1,817.50","1,805.88","899.60M","0.35%"
"2017年6月16日","1,810.05","1,816.16","1,819.10","1,809.48","1.16B","-0.34%"
"2017年6月15日","1,816.26","1,788.81","1,823.42","1,788.43","1.55B","1.43%"
"2017年6月14日","1,790.64","1,794.04","1,798.20","1,787.06","976.44M","-0.28%"
"2017年6月13日","1,795.63","1,773.01","1,800.20","1,771.85","932.84M","1.13%"
