trade_date,natural_days_to_10pct_close_move,breach_date,breach_close
2008-03-07,11,2008-03-17,4096.93
2008-03-10,8,2008-03-17,4096.93
2008-03-11,7,2008-03-17,4096.93
2008-03-12,6,2008-03-17,4096.93
2008-03-13,6,2008-03-18,3814.21
2008-03-14,5,2008-03-18,3814.21
2008-03-17,16,2008-04-01,3539.51
2008-03-18,4,2008-03-21,4197.44
2008-03-19,14,2008-04-01,3539.51
2008-03-20,13,2008-04-01,3539.51
2008-03-21,12,2008-04-01,3539.51
2008-03-24,9,2008-04-01,3539.51
2008-03-25,8,2008-04-01,3539.51
2008-03-26,7,2008-04-01,3539.51
2008-03-27,6,2008-04-01,3539.51
2008-03-28,5,2008-04-01,3539.51
2008-03-31,3,2008-04-02,3319.60
2008-04-01,18,2008-04-18,3116.69
2008-04-02,7,2008-04-08,3673.96
2008-04-03,40,2008-05-12,3749.79
2008-04-07,12,2008-04-18,3116.69
2008-04-08,10,2008-04-17,3291.15
2008-04-09,10,2008-04-18,3116.69
2008-04-10,9,2008-04-18,3116.69
2008-04-11,8,2008-04-18,3116.69
2008-04-14,9,2008-04-22,3054.43
2008-04-15,4,2008-04-18,3116.69
2008-04-16,7,2008-04-22,3054.43
2008-04-17,19,2008-05-05,3694.12
2008-04-18,7,2008-04-24,3448.80
2008-04-21,4,2008-04-24,3448.80
2008-04-22,3,2008-04-24,3448.80
2008-04-23,8,2008-04-30,3584.35
2008-04-24,21,2008-05-14,3856.09
2008-04-25,20,2008-05-14,3856.09
2008-04-28,17,2008-05-14,3856.09
2008-04-29,16,2008-05-14,3856.09
2008-04-30,42,2008-06-10,3125.80
2008-05-05,37,2008-06-10,3125.80
2008-05-06,36,2008-06-10,3125.80
2008-05-07,35,2008-06-10,3125.80
2008-05-08,34,2008-06-10,3125.80
2008-05-09,33,2008-06-10,3125.80
2008-05-12,30,2008-06-10,3125.80
2008-05-13,29,2008-06-10,3125.80
2008-05-14,23,2008-06-05,3434.02
2008-05-15,22,2008-06-05,3434.02
2008-05-16,26,2008-06-10,3125.80
2008-05-19,19,2008-06-06,3420.07
2008-05-20,22,2008-06-10,3125.80
2008-05-21,21,2008-06-10,3125.80
2008-05-22,20,2008-06-10,3125.80
2008-05-23,19,2008-06-10,3125.80
2008-05-26,16,2008-06-10,3125.80
2008-05-27,15,2008-06-10,3125.80
2008-05-28,14,2008-06-10,3125.80
2008-05-29,13,2008-06-10,3125.80
2008-05-30,12,2008-06-10,3125.80
2008-06-02,9,2008-06-10,3125.80
2008-06-03,8,2008-06-10,3125.80
2008-06-04,8,2008-06-11,3054.53
2008-06-05,7,2008-06-11,3054.53
2008-06-06,6,2008-06-11,3054.53
2008-06-10,7,2008-06-16,2811.91
2008-06-11,7,2008-06-17,2640.92
2008-06-12,6,2008-06-17,2640.92
2008-06-13,7,2008-06-19,2561.03
2008-06-16,16,2008-07-01,2526.32
2008-06-17,23,2008-07-09,2967.54
2008-06-18,55,2008-08-11,2295.76
2008-06-19,19,2008-07-07,2832.05
2008-06-20,19,2008-07-08,2887.93
2008-06-23,15,2008-07-07,2832.05
2008-06-24,15,2008-07-08,2887.93
2008-06-25,48,2008-08-11,2295.76
2008-06-26,47,2008-08-11,2295.76
2008-06-27,12,2008-07-08,2887.93
2008-06-30,9,2008-07-08,2887.93
2008-07-01,7,2008-07-07,2832.05
2008-07-02,6,2008-07-07,2832.05
2008-07-03,7,2008-07-09,2967.54
2008-07-04,6,2008-07-09,2967.54
2008-07-07,33,2008-08-08,2514.97
2008-07-08,32,2008-08-08,2514.97
2008-07-09,31,2008-08-08,2514.97
2008-07-10,30,2008-08-08,2514.97
2008-07-11,29,2008-08-08,2514.97
2008-07-14,26,2008-08-08,2514.97
2008-07-15,25,2008-08-08,2514.97
2008-07-16,27,2008-08-11,2295.76
2008-07-17,8,2008-07-24,2990.77
2008-07-18,25,2008-08-11,2295.76
2008-07-21,19,2008-08-08,2514.97
2008-07-22,18,2008-08-08,2514.97
2008-07-23,17,2008-08-08,2514.97
2008-07-24,16,2008-08-08,2514.97
2008-07-25,15,2008-08-08,2514.97
2008-07-28,9,2008-08-05,2712.63
2008-07-29,11,2008-08-08,2514.97
2008-07-30,10,2008-08-08,2514.97
2008-07-31,9,2008-08-08,2514.97
2008-08-01,8,2008-08-08,2514.97
2008-08-04,5,2008-08-08,2514.97
2008-08-05,7,2008-08-11,2295.76
2008-08-06,6,2008-08-11,2295.76
2008-08-07,5,2008-08-11,2295.76
2008-08-08,5,2008-08-12,2251.39
2008-08-11,16,2008-08-26,2041.98
2008-08-12,25,2008-09-05,1952.60
2008-08-13,24,2008-09-05,1952.60
2008-08-14,23,2008-09-05,1952.60
2008-08-15,22,2008-09-05,1952.60
2008-08-18,3,2008-08-20,2299.67
2008-08-19,21,2008-09-08,1847.39
2008-08-20,7,2008-08-26,2041.98
2008-08-21,16,2008-09-05,1952.60
2008-08-22,15,2008-09-05,1952.60
2008-08-25,12,2008-09-05,1952.60
