trade_date,open,high,low,close
2023-08-07,973.29,977.41,967.16,968.90
2023-08-08,967.43,971.72,965.04,965.53
2023-08-09,961.50,966.70,956.40,957.37
2023-08-10,957.22,961.86,954.42,959.17
2023-08-11,960.10,960.65,938.77,938.77
2023-08-14,932.09,934.25,919.94,930.50
2023-08-15,933.06,935.01,911.59,917.45
2023-08-16,916.59,920.35,901.68,901.79
2023-08-17,899.80,913.85,896.44,910.38
2023-08-18,924.30,924.30,904.25,904.25
2023-08-21,900.22,907.60,891.74,892.09
2023-08-22,896.74,903.78,877.62,901.13
2023-08-23,899.96,899.96,879.46,879.46
2023-08-24,883.80,895.91,880.03,885.48
2023-08-25,880.17,882.44,865.09,870.40
2023-08-28,926.00,927.63,878.26,880.19
2023-08-29,878.78,920.54,878.78,916.46
2023-08-30,935.82,950.70,928.42,939.65
2023-08-31,936.19,949.46,932.34,942.61
2023-09-01,944.25,945.72,927.21,934.79
2023-09-04,935.82,942.45,927.58,942.43
2023-09-05,942.56,947.95,929.25,930.63
2023-09-06,926.25,936.88,920.25,934.60
2023-09-07,929.36,929.36,899.30,899.83
2023-09-08,895.50,906.34,894.40,901.51
2023-09-11,901.54,915.99,895.62,907.51
2023-09-12,905.92,909.84,901.38,901.62
2023-09-13,900.00,902.52,882.91,889.13
2023-09-14,888.26,892.79,877.82,880.80
2023-09-15,883.07,893.91,876.62,887.01
2023-09-18,881.38,888.68,876.91,879.53
2023-09-19,879.35,880.26,870.66,873.62
2023-09-20,870.03,876.90,865.79,866.02
2023-09-21,862.64,869.86,860.31,860.39
2023-09-22,860.73,883.26,859.09,882.88
2023-09-25,880.32,881.70,874.21,874.55
2023-09-26,876.26,884.02,873.98,876.05
2023-09-27,875.43,886.67,875.43,880.17
2023-09-28,880.39,890.07,878.59,887.80
2023-10-09,884.20,890.95,880.34,887.21
2023-10-10,888.15,892.48,881.84,882.04
2023-10-11,885.63,895.16,883.66,893.45
2023-10-12,896.00,901.47,891.17,899.98
2023-10-13,895.47,897.15,888.54,891.72
