日期,品种,标的,多空,数量,可用数量,收盘价/结算价,市值/价值,盈亏/逐笔浮盈,开仓均价,持仓均价（期货）,保证金,当日盈亏,今手数,盈亏占比,仓位占比
2019-11-27,股票,盛讯达(300518.XSHE),多,54100股,54100股,24.7,1336270,-112528,26.78,-,0,-34624,0股,-7.77%,7372223.03,18.13%
2019-11-27,股票,延华智能(002178.XSHE),多,536600股,536600股,3.46,1856636,-10732,3.48,-,0,-10732,0股,-0.57%,7372223.03,25.18%
2019-11-27,,Cash,,,,,-16602.97,,,,,,,,0
2019-11-28,股票,佳云科技(300242.XSHE),多,418700股,418700股,3.52,1473824,-167480,3.92,-,0,-12561,0股,-10.2%,7362188.03,20.02%
2019-11-28,股票,唐德影视(300426.XSHE),多,254900股,254900股,5.41,1379009,-73921,5.7,-,0,-2549,0股,-5.09%,7362188.03,18.73%
2019-11-28,股票,曙光股份(600303.XSHG),多,413700股,413700股,3.19,1319703,-136521,3.52,-,0,-8274,0股,-9.38%,7362188.03,17.93%
2019-11-28,股票,盛讯达(300518.XSHE),多,54100股,54100股,24.55,1328155,-120643,26.78,-,0,-8115,0股,-8.33%,7362188.03,18.04%
2019-11-28,股票,延华智能(002178.XSHE),多,536600股,536600股,3.5,1878100,10732,3.48,-,0,21464,0股,0.57%,7362188.03,25.51%
2019-11-28,,Cash,,,,,-16602.97,,,,,,,,0
2019-11-29,股票,佳云科技(300242.XSHE),多,418700股,418700股,3.55,1486385,-154919,3.92,-,0,12561,0股,-9.44%,7389415.03,20.12%
2019-11-29,股票,唐德影视(300426.XSHE),多,254900股,254900股,5.42,1381558,-71372,5.7,-,0,2549,0股,-4.91%,7389415.03,18.7%
2019-11-29,股票,曙光股份(600303.XSHG),多,413700股,413700股,3.24,1340388,-115836,3.52,-,0,20685,0股,-7.95%,7389415.03,18.14%
2019-11-29,股票,盛讯达(300518.XSHE),多,54100股,54100股,24.59,1330319,-118479,26.78,-,0,2164,0股,-8.18%,7389415.03,18%
2019-11-29,股票,延华智能(002178.XSHE),多,536600股,536600股,3.48,1867368,0,3.48,-,0,-10732,0股,0%,7389415.03,25.27%
2019-11-29,,Cash,,,,,-16602.97,,,,,,,,0
2019-12-02,股票,佳云科技(300242.XSHE),多,418700股,418700股,3.56,1490572,-150732,3.92,-,0,4187,0股,-9.18%,7321537.4,20.36%
2019-12-02,股票,唐德影视(300426.XSHE),多,254900股,254900股,5.52,1407048,-45882,5.7,-,0,25490,0股,-3.16%,7321537.4,19.22%
2019-12-02,股票,曙光股份(600303.XSHG),多,413700股,413700股,3.19,1319703,-136521,3.52,-,0,-20685,0股,-9.38%,7321537.4,18.02%
2019-12-02,股票,盛讯达(300518.XSHE),多,54100股,54100股,24,1298400,-150398,26.78,-,0,-31919,0股,-10.38%,7321537.4,17.73%
2019-12-02,股票,华仪电气(600290.XSHG),多,625000股,0股,2.91,1818750,-31250,2.96,-,0,-31250,625000股,-1.69%,7321537.4,24.84%
2019-12-02,,Cash,,,,,-12935.6,,,,,,,,0
2019-12-03,股票,佳云科技(300242.XSHE),多,418700股,418700股,3.6,1507320,-133984,3.92,-,0,16748,0股,-8.16%,7370197.4,20.45%
2019-12-03,股票,唐德影视(300426.XSHE),多,254900股,254900股,5.56,1417244,-35686,5.7,-,0,10196,0股,-2.46%,7370197.4,19.23%
2019-12-03,股票,曙光股份(600303.XSHG),多,413700股,413700股,3.23,1336251,-119973,3.52,-,0,16548,0股,-8.24%,7370197.4,18.13%
2019-12-03,股票,盛讯达(300518.XSHE),多,54100股,54100股,23.98,1297318,-151480,26.78,-,0,-1082,0股,-10.46%,7370197.4,17.6%
2019-12-03,股票,华仪电气(600290.XSHG),多,625000股,625000股,2.92,1825000,-25000,2.96,-,0,6250,0股,-1.35%,7370197.4,24.76%
2019-12-03,,Cash,,,,,-12935.6,,,,,,,,0
2019-12-04,股票,佳云科技(300242.XSHE),多,418700股,418700股,3.61,1511507,-129797,3.92,-,0,4187,0股,-7.91%,7411728.4,20.39%
2019-12-04,股票,唐德影视(300426.XSHE),多,254900股,254900股,5.59,1424891,-28039,5.7,-,0,7647,0股,-1.93%,7411728.4,19.22%
2019-12-04,股票,曙光股份(600303.XSHG),多,413700股,413700股,3.28,1356936,-99288,3.52,-,0,20685,0股,-6.82%,7411728.4,18.31%
2019-12-04,股票,盛讯达(300518.XSHE),多,54100股,54100股,23.8,1287580,-161218,26.78,-,0,-9738,0股,-11.13%,7411728.4,17.37%
2019-12-04,股票,华仪电气(600290.XSHG),多,625000股,625000股,2.95,1843750,-6250,2.96,-,0,18750,0股,-0.34%,7411728.4,24.88%
2019-12-04,,Cash,,,,,-12935.6,,,,,,,,0
2019-12-05,股票,佳云科技(300242.XSHE),多,418700股,418700股,3.69,1545003,-96301,3.92,-,0,33496,0股,-5.87%,7481932.4,20.65%
2019-12-05,股票,唐德影视(300426.XSHE),多,254900股,254900股,5.68,1447832,-5098,5.7,-,0,22941,0股,-0.35%,7481932.4,19.35%
2019-12-05,股票,曙光股份(600303.XSHG),多,413700股,413700股,3.28,1356936,-99288,3.52,-,0,0,0股,-6.82%,7481932.4,18.14%
2019-12-05,股票,盛讯达(300518.XSHE),多,54100股,54100股,24.17,1307597,-141201,26.78,-,0,20017,0股,-9.75%,7481932.4,17.48%
2019-12-05,股票,华仪电气(600290.XSHG),多,625000股,625000股,2.94,1837500,-12500,2.96,-,0,-6250,0股,-0.68%,7481932.4,24.56%
2019-12-05,,Cash,,,,,-12935.6,,,,,,,,0
2019-12-06,股票,佳云科技(300242.XSHE),多,418700股,418700股,3.7,1549190,-92114,3.92,-,0,4187,0股,-5.61%,7654917.4,20.24%
2019-12-06,股票,唐德影视(300426.XSHE),多,254900股,254900股,6.25,1593125,140195,5.7,-,0,145293,0股,9.65%,7654917.4,20.81%
2019-12-06,股票,曙光股份(600303.XSHG),多,413700股,413700股,3.28,1356936,-99288,3.52,-,0,0,0股,-6.82%,7654917.4,17.73%
2019-12-06,股票,盛讯达(300518.XSHE),多,54100股,54100股,24.72,1337352,-111446,26.78,-,0,29755,0股,-7.69%,7654917.4,17.47%
2019-12-06,股票,华仪电气(600290.XSHG),多,625000股,625000股,2.93,1831250,-18750,2.96,-,0,-6250,0股,-1.01%,7654917.4,23.92%
2019-12-06,,Cash,,,,,-12935.6,,,,,,,,0
2019-12-09,股票,佳云科技(300242.XSHE),多,418700股,418700股,3.68,1540816,-100488,3.92,-,0,-8374,0股,-6.12%,7796503.04,19.76%
2019-12-09,股票,曙光股份(600303.XSHG),多,413700股,413700股,3.32,1373484,-82740,3.52,-,0,16548,0股,-5.68%,7796503.04,17.62%
2019-12-09,股票,盛讯达(300518.XSHE),多,54100股,54100股,25,1352500,-96298,26.78,-,0,15148,0股,-6.65%,7796503.04,17.35%
2019-12-09,股票,华仪电气(600290.XSHG),多,625000股,625000股,2.9,1812500,-37500,2.96,-,0,-18750,0股,-2.03%,7796503.04,23.25%
2019-12-09,股票,延华智能(002178.XSHE),多,468000股,0股,3.69,1726920,4680,3.68,-,0,4680,468000股,0.27%,7796503.04,22.15%
2019-12-09,,Cash,,,,,-9716.96,,,,,,,,0
2019-12-10,股票,佳云科技(300242.XSHE),多,418700股,418700股,3.76,1574312,-66992,3.92,-,0,33496,0股,-4.08%,7912642.04,19.9%
2019-12-10,股票,曙光股份(600303.XSHG),多,413700股,413700股,3.32,1373484,-82740,3.52,-,0,0,0股,-5.68%,7912642.04,17.36%
2019-12-10,股票,盛讯达(300518.XSHE),多,54100股,54100股,25.23,1364943,-83855,26.78,-,0,12443,0股,-5.79%,7912642.04,17.25%
2019-12-10,股票,华仪电气(600290.XSHG),多,625000股,625000股,2.9,1812500,-37500,2.96,-,0,0,0股,-2.03%,7912642.04,22.91%
2019-12-10,股票,延华智能(002178.XSHE),多,468000股,468000股,3.84,1797120,74880,3.68,-,0,70200,0股,4.35%,7912642.04,22.71%
2019-12-10,,Cash,,,,,-9716.96,,,,,,,,0
2019-12-11,股票,佳云科技(300242.XSHE),多,418700股,418700股,3.9,1632930,-8374,3.92,-,0,58618,0股,-0.51%,7982975.04,20.46%
2019-12-11,股票,曙光股份(600303.XSHG),多,413700股,413700股,3.33,1377621,-78603,3.52,-,0,4137,0股,-5.4%,7982975.04,17.26%
2019-12-11,股票,盛讯达(300518.XSHE),多,54100股,54100股,25.11,1358451,-90347,26.78,-,0,-6492,0股,-6.24%,7982975.04,17.02%
2019-12-11,股票,华仪电气(600290.XSHG),多,625000股,625000股,2.93,1831250,-18750,2.96,-,0,18750,0股,-1.01%,7982975.04,22.94%
2019-12-11,股票,延华智能(002178.XSHE),多,468000股,468000股,3.83,1792440,70200,3.68,-,0,-4680,0股,4.08%,7982975.04,22.45%
2019-12-11,,Cash,,,,,-9716.96,,,,,,,,0
2019-12-12,股票,佳云科技(300242.XSHE),多,418700股,418700股,3.81,1595247,-46057,3.92,-,0,-37683,0股,-2.81%,7930043.04,20.12%
2019-12-12,股票,曙光股份(600303.XSHG),多,413700股,413700股,3.38,1398306,-57918,3.52,-,0,20685,0股,-3.98%,7930043.04,17.63%
2019-12-12,股票,盛讯达(300518.XSHE),多,54100股,54100股,25.37,1372517,-76281,26.78,-,0,14066,0股,-5.27%,7930043.04,17.31%
2019-12-12,股票,华仪电气(600290.XSHG),多,625000股,625000股,2.85,1781250,-68750,2.96,-,0,-50000,0股,-3.72%,7930043.04,22.46%
2019-12-12,股票,延华智能(002178.XSHE),多,468000股,468000股,3.83,1792440,70200,3.68,-,0,0,0股,4.08%,7930043.04,22.6%
2019-12-12,,Cash,,,,,-9716.96,,,,,,,,0
2019-12-13,股票,佳云科技(300242.XSHE),多,418700股,418700股,3.81,1595247,-46057,3.92,-,0,0,0股,-2.81%,8067163.04,19.77%
2019-12-13,股票,曙光股份(600303.XSHG),多,413700股,413700股,3.72,1538964,82740,3.52,-,0,140658,0股,5.68%,8067163.04,19.08%
2019-12-13,股票,盛讯达(300518.XSHE),多,54100股,54100股,25.39,1373599,-75199,26.78,-,0,1082,0股,-5.19%,8067163.04,17.03%
2019-12-13,股票,华仪电气(600290.XSHG),多,625000股,625000股,2.91,1818750,-31250,2.96,-,0,37500,0股,-1.69%,8067163.04,22.55%
2019-12-13,股票,延华智能(002178.XSHE),多,468000股,468000股,3.74,1750320,28080,3.68,-,0,-42120,0股,1.63%,8067163.04,21.7%
2019-12-13,,Cash,,,,,-9716.96,,,,,,,,0
2019-12-16,股票,佳云科技(300242.XSHE),多,418700股,418700股,3.83,1603621,-37683,3.92,-,0,8374,0股,-2.3%,8138672.04,19.7%
2019-12-16,股票,曙光股份(600303.XSHG),多,413700股,413700股,3.76,1555512,99288,3.52,-,0,16548,0股,6.82%,8138672.04,19.11%
2019-12-16,股票,盛讯达(300518.XSHE),多,54100股,54100股,25.76,1393616,-55182,26.78,-,0,20017,0股,-3.81%,8138672.04,17.12%
2019-12-16,股票,华仪电气(600290.XSHG),多,625000股,625000股,2.96,1850000,0,2.96,-,0,31250,0股,0%,8138672.04,22.73%
2019-12-16,股票,延华智能(002178.XSHE),多,468000股,468000股,3.73,1745640,23400,3.68,-,0,-4680,0股,1.36%,8138672.04,21.45%
2019-12-16,,Cash,,,,,-9716.96,,,,,,,,0
2019-12-17,股票,佳云科技(300242.XSHE),多,418700股,418700股,3.89,1628743,-12561,3.92,-,0,25122,0股,-0.77%,8260041.04,19.72%
2019-12-17,股票,曙光股份(600303.XSHG),多,413700股,413700股,3.7,1530690,74466,3.52,-,0,-24822,0股,5.11%,8260041.04,18.53%
2019-12-17,股票,盛讯达(300518.XSHE),多,54100股,54100股,26.15,1414715,-34083,26.78,-,0,21099,0股,-2.35%,8260041.04,17.13%
2019-12-17,股票,华仪电气(600290.XSHG),多,625000股,625000股,3.09,1931250,81250,2.96,-,0,81250,0股,4.39%,8260041.04,23.38%
2019-12-17,股票,延华智能(002178.XSHE),多,468000股,468000股,3.77,1764360,42120,3.68,-,0,18720,0股,2.45%,8260041.04,21.36%
2019-12-17,,Cash,,,,,-9716.96,,,,,,,,0
2019-12-18,股票,佳云科技(300242.XSHE),多,418700股,418700股,3.89,1628743,-12561,3.92,-,0,0,0股,-0.77%,8440489.04,19.3%
2019-12-18,股票,曙光股份(600303.XSHG),多,413700股,413700股,3.66,1514142,57918,3.52,-,0,-16548,0股,3.98%,8440489.04,17.94%
2019-12-18,股票,盛讯达(300518.XSHE),多,54100股,54100股,26.21,1417961,-30837,26.78,-,0,3246,0股,-2.13%,8440489.04,16.8%
2019-12-18,股票,华仪电气(600290.XSHG),多,625000股,625000股,3.4,2125000,275000,2.96,-,0,193750,0股,14.86%,8440489.04,25.18%
2019-12-18,股票,延华智能(002178.XSHE),多,468000股,468000股,3.77,1764360,42120,3.68,-,0,0,0股,2.45%,8440489.04,20.9%
2019-12-18,,Cash,,,,,-9716.96,,,,,,,,0
2019-12-19,股票,佳云科技(300242.XSHE),多,418700股,418700股,4,1674800,33496,3.92,-,0,46057,0股,2.04%,8771271.04,19.09%
2019-12-19,股票,曙光股份(600303.XSHG),多,413700股,413700股,3.67,1518279,62055,3.52,-,0,4137,0股,4.26%,8771271.04,17.31%
2019-12-19,股票,盛讯达(300518.XSHE),多,54100股,54100股,26.69,1443929,-4869,26.78,-,0,25968,0股,-0.34%,8771271.04,16.46%
2019-12-19,股票,华仪电气(600290.XSHG),多,625000股,625000股,3.74,2337500,487500,2.96,-,0,212500,0股,26.35%,8771271.04,26.65%
2019-12-19,股票,延华智能(002178.XSHE),多,468000股,468000股,3.86,1806480,84240,3.68,-,0,42120,0股,4.89%,8771271.04,20.6%
2019-12-19,,Cash,,,,,-9716.96,,,,,,,,0
2019-12-20,股票,佳云科技(300242.XSHE),多,418700股,418700股,3.93,1645491,4187,3.92,-,0,-29309,0股,0.26%,8723424.04,18.86%
2019-12-20,股票,曙光股份(600303.XSHG),多,413700股,413700股,3.62,1497594,41370,3.52,-,0,-20685,0股,2.84%,8723424.04,17.17%
2019-12-20,股票,盛讯达(300518.XSHE),多,54100股,54100股,29.36,1588376,139578,26.78,-,0,144447,0股,9.63%,8723424.04,18.21%
2019-12-20,股票,华仪电气(600290.XSHG),多,625000股,625000股,3.4,2125000,275000,2.96,-,0,-212500,0股,14.86%,8723424.04,24.36%
2019-12-20,股票,延华智能(002178.XSHE),多,468000股,468000股,4.01,1876680,154440,3.68,-,0,70200,0股,8.97%,8723424.04,21.51%
2019-12-20,,Cash,,,,,-9716.96,,,,,,,,0
2019-12-23,股票,华仪电气(600290.XSHG),多,625000股,625000股,3.17,1981250,131250,2.96,-,0,-143750,0股,7.09%,8394622.85,23.6%
2019-12-23,股票,双林股份(300100.XSHE),多,274400股,0股,5.87,1610728,-46648,6.04,-,0,-46648,274400股,-2.81%,8394622.85,19.19%
2019-12-23,股票,华西能源(002630.XSHE),多,678800股,0股,2.37,1608756,-61092,2.46,-,0,-61092,678800股,-3.66%,8394622.85,19.16%
2019-12-23,股票,正业科技(300410.XSHE),多,210100股,0股,7.75,1628275,-27313,7.88,-,0,-27313,210100股,-1.65%,8394622.85,19.4%
2019-12-23,股票,金浦钛业(000545.XSHE),多,534500股,0股,2.95,1576775,-48105,3.04,-,0,-48105,534500股,-2.96%,8394622.85,18.78%
2019-12-23,,Cash,,,,,-11161.15,,,,,,,,0
2019-12-24,股票,华仪电气(600290.XSHG),多,625000股,625000股,3.49,2181250,331250,2.96,-,0,200000,0股,17.91%,8720046.85,25.01%
2019-12-24,股票,双林股份(300100.XSHE),多,274400股,274400股,6.01,1649144,-8232,6.04,-,0,38416,0股,-0.5%,8720046.85,18.91%
2019-12-24,股票,华西能源(002630.XSHE),多,678800股,678800股,2.4,1629120,-40728,2.46,-,0,20364,0股,-2.44%,8720046.85,18.68%
2019-12-24,股票,正业科技(300410.XSHE),多,210100股,210100股,7.94,1668194,12606,7.88,-,0,39919,0股,0.76%,8720046.85,19.13%
2019-12-24,股票,金浦钛业(000545.XSHE),多,534500股,534500股,3,1603500,-21380,3.04,-,0,26725,0股,-1.32%,8720046.85,18.39%
2019-12-24,,Cash,,,,,-11161.15,,,,,,,,0
2019-12-25,股票,华仪电气(600290.XSHG),多,625000股,625000股,3.49,2181250,331250,2.96,-,0,0,0股,17.91%,8723750.85,25%
2019-12-25,股票,双林股份(300100.XSHE),多,274400股,274400股,5.98,1640912,-16464,6.04,-,0,-8232,0股,-0.99%,8723750.85,18.81%
2019-12-25,股票,华西能源(002630.XSHE),多,678800股,678800股,2.39,1622332,-47516,2.46,-,0,-6788,0股,-2.85%,8723750.85,18.6%
2019-12-25,股票,正业科技(300410.XSHE),多,210100股,210100股,8.08,1697608,42020,7.88,-,0,29414,0股,2.54%,8723750.85,19.46%
2019-12-25,股票,金浦钛业(000545.XSHE),多,534500股,534500股,2.98,1592810,-32070,3.04,-,0,-10690,0股,-1.97%,8723750.85,18.26%
2019-12-25,,Cash,,,,,-11161.15,,,,,,,,0
2019-12-26,股票,ST华仪(600290.XSHG),多,625000股,625000股,3.32,2075000,225000,2.96,-,0,-106250,0股,12.16%,8671336.85,23.93%
2019-12-26,股票,双林股份(300100.XSHE),多,274400股,274400股,6.03,1654632,-2744,6.04,-,0,13720,0股,-0.17%,8671336.85,19.08%
2019-12-26,股票,华西能源(002630.XSHE),多,678800股,678800股,2.41,1635908,-33940,2.46,-,0,13576,0股,-2.03%,8671336.85,18.87%
2019-12-26,股票,正业科技(300410.XSHE),多,210100股,210100股,8.13,1708113,52525,7.88,-,0,10505,0股,3.17%,8671336.85,19.7%
2019-12-26,股票,金浦钛业(000545.XSHE),多,534500股,534500股,3.01,1608845,-16035,3.04,-,0,16035,0股,-0.99%,8671336.85,18.55%
2019-12-26,,Cash,,,,,-11161.15,,,,,,,,0
2019-12-27,股票,ST华仪(600290.XSHG),多,625000股,625000股,3.15,1968750,118750,2.96,-,0,-106250,0股,6.42%,8605664.85,22.88%
2019-12-27,股票,双林股份(300100.XSHE),多,274400股,274400股,5.96,1635424,-21952,6.04,-,0,-19208,0股,-1.32%,8605664.85,19%
2019-12-27,股票,华西能源(002630.XSHE),多,678800股,678800股,2.41,1635908,-33940,2.46,-,0,0,0股,-2.03%,8605664.85,19.01%
2019-12-27,股票,正业科技(300410.XSHE),多,210100股,210100股,8.44,1773244,117656,7.88,-,0,65131,0股,7.11%,8605664.85,20.61%
2019-12-27,股票,金浦钛业(000545.XSHE),多,534500股,534500股,3,1603500,-21380,3.04,-,0,-5345,0股,-1.32%,8605664.85,18.63%
2019-12-27,,Cash,,,,,-11161.15,,,,,,,,0
2019-12-30,股票,ST华仪(600290.XSHG),多,625000股,625000股,2.99,1868750,18750,2.96,-,0,-100000,0股,1.01%,8462267.76,22.08%
2019-12-30,股票,双林股份(300100.XSHE),多,274400股,274400股,5.96,1635424,-21952,6.04,-,0,0,0股,-1.32%,8462267.76,19.33%
2019-12-30,股票,华西能源(002630.XSHE),多,678800股,678800股,2.4,1629120,-40728,2.46,-,0,-6788,0股,-2.44%,8462267.76,19.25%
2019-12-30,股票,金浦钛业(000545.XSHE),多,534500股,534500股,3.03,1619535,-5345,3.04,-,0,16035,0股,-0.33%,8462267.76,19.14%
2019-12-30,股票,沃格光电(603773.XSHG),多,52500股,0股,32.55,1708875,6825,32.42,-,0,6825,52500股,0.4%,8462267.76,20.19%
2019-12-30,,Cash,,,,,563.76,,,,,,,,0
2019-12-31,股票,ST华仪(600290.XSHG),多,625000股,625000股,2.84,1775000,-75000,2.96,-,0,-93750,0股,-4.05%,8432412.76,21.05%
2019-12-31,股票,双林股份(300100.XSHE),多,274400股,274400股,5.98,1640912,-16464,6.04,-,0,5488,0股,-0.99%,8432412.76,19.46%
2019-12-31,股票,华西能源(002630.XSHE),多,678800股,678800股,2.39,1622332,-47516,2.46,-,0,-6788,0股,-2.85%,8432412.76,19.24%
2019-12-31,股票,金浦钛业(000545.XSHE),多,534500股,534500股,3.04,1624880,0,3.04,-,0,5345,0股,0%,8432412.76,19.27%
2019-12-31,股票,沃格光电(603773.XSHG),多,52500股,52500股,33.69,1768725,66675,32.42,-,0,59850,0股,3.92%,8432412.76,20.98%
2019-12-31,,Cash,,,,,563.76,,,,,,,,0
2020-01-02,股票,ST华仪(600290.XSHG),多,625000股,625000股,2.7,1687500,-162500,2.96,-,0,-87500,0股,-8.78%,8554577.76,19.73%
2020-01-02,股票,双林股份(300100.XSHE),多,274400股,274400股,6.08,1668352,10976,6.04,-,0,27440,0股,0.66%,8554577.76,19.5%
2020-01-02,股票,华西能源(002630.XSHE),多,678800股,678800股,2.44,1656272,-13576,2.46,-,0,33940,0股,-0.81%,8554577.76,19.36%
2020-01-02,股票,金浦钛业(000545.XSHE),多,534500股,534500股,3.12,1667640,42760,3.04,-,0,42760,0股,2.63%,8554577.76,19.49%
2020-01-02,股票,沃格光电(603773.XSHG),多,52500股,52500股,35.7,1874250,172200,32.42,-,0,105525,0股,10.12%,8554577.76,21.91%
2020-01-02,,Cash,,,,,563.76,,,,,,,,0
2020-01-03,股票,ST华仪(600290.XSHG),多,625000股,625000股,2.62,1637500,-212500,2.96,-,0,-50000,0股,-11.49%,8466357.76,19.34%
2020-01-03,股票,双林股份(300100.XSHE),多,274400股,274400股,6.07,1665608,8232,6.04,-,0,-2744,0股,0.5%,8466357.76,19.67%
2020-01-03,股票,华西能源(002630.XSHE),多,678800股,678800股,2.47,1676636,6788,2.46,-,0,20364,0股,0.41%,8466357.76,19.8%
2020-01-03,股票,金浦钛业(000545.XSHE),多,534500股,534500股,3.1,1656950,32070,3.04,-,0,-10690,0股,1.97%,8466357.76,19.57%
2020-01-03,股票,沃格光电(603773.XSHG),多,52500股,52500股,34.84,1829100,127050,32.42,-,0,-45150,0股,7.46%,8466357.76,21.6%
2020-01-03,,Cash,,,,,563.76,,,,,,,,0
2020-01-06,股票,双林股份(300100.XSHE),多,274400股,274400股,6.08,1668352,10976,6.04,-,0,2744,0股,0.66%,8463875.13,19.71%
2020-01-06,股票,华西能源(002630.XSHE),多,678800股,678800股,2.5,1697000,27152,2.46,-,0,20364,0股,1.63%,8463875.13,20.05%
2020-01-06,股票,金浦钛业(000545.XSHE),多,534500股,534500股,3.1,1656950,32070,3.04,-,0,0,0股,1.97%,8463875.13,19.58%
2020-01-06,股票,永吉股份(603058.XSHG),多,224000股,0股,7.72,1729280,31360,7.58,-,0,31360,224000股,1.85%,8463875.13,20.43%
2020-01-06,股票,普路通(002769.XSHE),多,197300股,0股,8.71,1718483,23676,8.59,-,0,23676,197300股,1.4%,8463875.13,20.3%
2020-01-06,,Cash,,,,,-6189.87,,,,,,,,0
2020-01-07,股票,双林股份(300100.XSHE),多,274400股,274400股,6.2,1701280,43904,6.04,-,0,32928,0股,2.65%,8601699.13,19.78%
2020-01-07,股票,华西能源(002630.XSHE),多,678800股,678800股,2.55,1730940,61092,2.46,-,0,33940,0股,3.66%,8601699.13,20.12%
2020-01-07,股票,金浦钛业(000545.XSHE),多,534500股,534500股,3.17,1694365,69485,3.04,-,0,37415,0股,4.28%,8601699.13,19.7%
2020-01-07,股票,永吉股份(603058.XSHG),多,224000股,224000股,7.72,1729280,31360,7.58,-,0,0,0股,1.85%,8601699.13,20.1%
2020-01-07,股票,普路通(002769.XSHE),多,197300股,197300股,8.88,1752024,57217,8.59,-,0,33541,0股,3.38%,8601699.13,20.37%
2020-01-07,,Cash,,,,,-6189.87,,,,,,,,0
2020-01-08,股票,双林股份(300100.XSHE),多,274400股,274400股,6.82,1871408,214032,6.04,-,0,170128,0股,12.91%,8640115.13,21.66%
2020-01-08,股票,华西能源(002630.XSHE),多,678800股,678800股,2.5,1697000,27152,2.46,-,0,-33940,0股,1.63%,8640115.13,19.64%
2020-01-08,股票,金浦钛业(000545.XSHE),多,534500股,534500股,3.11,1662295,37415,3.04,-,0,-32070,0股,2.3%,8640115.13,19.24%
2020-01-08,股票,永吉股份(603058.XSHG),多,224000股,224000股,7.55,1691200,-6720,7.58,-,0,-38080,0股,-0.4%,8640115.13,19.57%
2020-01-08,股票,普路通(002769.XSHE),多,197300股,197300股,8.74,1724402,29595,8.59,-,0,-27622,0股,1.75%,8640115.13,19.96%
2020-01-08,,Cash,,,,,-6189.87,,,,,,,,0
2020-01-09,股票,双林股份(300100.XSHE),多,274400股,274400股,6.65,1824760,167384,6.04,-,0,-46648,0股,10.1%,8729910.13,20.9%
2020-01-09,股票,华西能源(002630.XSHE),多,678800股,678800股,2.53,1717364,47516,2.46,-,0,20364,0股,2.85%,8729910.13,19.67%
2020-01-09,股票,金浦钛业(000545.XSHE),多,534500股,534500股,3.14,1678330,53450,3.04,-,0,16035,0股,3.29%,8729910.13,19.23%
2020-01-09,股票,永吉股份(603058.XSHG),多,224000股,224000股,7.75,1736000,38080,7.58,-,0,44800,0股,2.24%,8729910.13,19.89%
2020-01-09,股票,普路通(002769.XSHE),多,197300股,197300股,9.02,1779646,84839,8.59,-,0,55244,0股,5.01%,8729910.13,20.39%
2020-01-09,,Cash,,,,,-6189.87,,,,,,,,0
2020-01-10,股票,双林股份(300100.XSHE),多,274400股,274400股,6.72,1843968,186592,6.04,-,0,19208,0股,11.26%,8674806.13,21.26%
2020-01-10,股票,华西能源(002630.XSHE),多,678800股,678800股,2.51,1703788,33940,2.46,-,0,-13576,0股,2.03%,8674806.13,19.64%
2020-01-10,股票,金浦钛业(000545.XSHE),多,534500股,534500股,3.1,1656950,32070,3.04,-,0,-21380,0股,1.97%,8674806.13,19.1%
2020-01-10,股票,永吉股份(603058.XSHG),多,224000股,224000股,7.68,1720320,22400,7.58,-,0,-15680,0股,1.32%,8674806.13,19.83%
2020-01-10,股票,普路通(002769.XSHE),多,197300股,197300股,8.9,1755970,61163,8.59,-,0,-23676,0股,3.61%,8674806.13,20.24%
2020-01-10,,Cash,,,,,-6189.87,,,,,,,,0
2020-01-13,股票,双林股份(300100.XSHE),多,274400股,274400股,6.89,1890616,233240,6.04,-,0,46648,0股,14.07%,8695857.45,21.74%
2020-01-13,股票,华西能源(002630.XSHE),多,678800股,678800股,2.5,1697000,27152,2.46,-,0,-6788,0股,1.63%,8695857.45,19.52%
2020-01-13,股票,金浦钛业(000545.XSHE),多,534500股,534500股,3.13,1672985,48105,3.04,-,0,16035,0股,2.96%,8695857.45,19.24%
2020-01-13,股票,永吉股份(603058.XSHG),多,224000股,224000股,7.7,1724800,26880,7.58,-,0,4480,0股,1.58%,8695857.45,19.83%
2020-01-13,股票,正业科技(300410.XSHE),多,206600股,0股,8.31,1716846,-22726,8.42,-,0,-22726,206600股,-1.31%,8695857.45,19.74%
2020-01-13,,Cash,,,,,-6389.55,,,,,,,,0
2020-01-14,股票,双林股份(300100.XSHE),多,274400股,274400股,6.73,1846712,189336,6.04,-,0,-43904,0股,11.42%,8695097.45,21.24%
2020-01-14,股票,华西能源(002630.XSHE),多,678800股,678800股,2.49,1690212,20364,2.46,-,0,-6788,0股,1.22%,8695097.45,19.44%
2020-01-14,股票,金浦钛业(000545.XSHE),多,534500股,534500股,3.13,1672985,48105,3.04,-,0,0,0股,2.96%,8695097.45,19.24%
2020-01-14,股票,永吉股份(603058.XSHG),多,224000股,224000股,7.72,1729280,31360,7.58,-,0,4480,0股,1.85%,8695097.45,19.89%
2020-01-14,股票,正业科技(300410.XSHE),多,206600股,206600股,8.53,1762298,22726,8.42,-,0,45452,0股,1.31%,8695097.45,20.27%
2020-01-14,,Cash,,,,,-6389.55,,,,,,,,0
2020-01-15,股票,双林股份(300100.XSHE),多,274400股,274400股,6.52,1789088,131712,6.04,-,0,-57624,0股,7.95%,8573731.45,20.87%
2020-01-15,股票,华西能源(002630.XSHE),多,678800股,678800股,2.54,1724152,54304,2.46,-,0,33940,0股,3.25%,8573731.45,20.11%
