"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2014年4月16日","4,019.88","4,010.36","4,026.76","3,992.50","38.11K","-0.05%"
"2014年4月15日","4,021.91","4,050.33","4,050.33","4,015.09","45.46K","-0.73%"
"2014年4月14日","4,051.33","4,019.50","4,051.49","4,018.74","41.57K","0.75%"
"2014年4月11日","4,021.19","4,021.96","4,031.21","4,001.80","43.25K","-0.44%"
"2014年4月10日","4,038.84","4,022.05","4,052.84","4,012.66","51.17K","0.50%"
"2014年4月9日","4,018.55","3,987.43","4,019.08","3,987.43","43.69K","0.93%"
"2014年4月8日","3,981.63","3,927.51","3,981.63","3,918.98","42.62K","1.08%"
"2014年4月4日","3,939.23","3,888.73","3,939.61","3,881.96","38.20K","1.10%"
"2014年4月3日","3,896.28","3,902.07","3,919.17","3,880.40","42.34K","-0.15%"
"2014年4月2日","3,902.04","3,901.19","3,922.08","3,891.55","43.98K","0.07%"
"2014年4月1日","3,899.49","3,836.50","3,899.66","3,835.23","34.66K","1.53%"
"2014年3月31日","3,840.54","3,865.00","3,878.00","3,815.74","38.34K","-0.64%"
"2014年3月28日","3,865.29","3,935.20","3,951.73","3,855.48","53.46K","-2.00%"
"2014年3月27日","3,944.04","3,994.82","3,996.25","3,943.79","49.46K","-1.44%"
"2014年3月26日","4,001.50","3,997.17","4,009.88","3,987.19","46.28K","0.26%"
"2014年3月25日","3,991.14","3,977.88","4,007.94","3,967.62","53.67K","0.13%"
"2014年3月24日","3,985.86","3,954.05","3,995.86","3,944.69","54.20K","0.85%"
"2014年3月21日","3,952.39","3,857.82","3,954.26","3,828.92","52.36K","1.96%"
"2014年3月20日","3,876.58","3,973.15","4,000.37","3,876.43","49.86K","-2.62%"
"2014年3月19日","3,980.67","3,979.25","3,980.74","3,944.09","42.67K","-0.21%"
"2014年3月18日","3,989.20","3,970.66","4,009.35","3,968.89","44.27K","0.56%"
"2014年3月17日","3,967.15","3,889.90","3,967.85","3,889.90","39.29K","2.01%"
"2014年3月14日","3,888.98","3,891.20","3,913.50","3,860.32","35.14K","-0.47%"
"2014年3月13日","3,907.15","3,865.92","3,907.85","3,861.71","37.07K","1.07%"
"2014年3月12日","3,865.66","3,857.58","3,894.06","3,803.73","41.22K","0.04%"
"2014年3月11日","3,864.26","3,848.17","3,889.24","3,826.93","39.94K","0.10%"
"2014年3月10日","3,860.24","3,981.51","3,981.51","3,856.10","49.67K","-3.79%"
"2014年3月7日","4,012.45","4,032.14","4,051.03","3,992.94","45.69K","-0.50%"
"2014年3月6日","4,032.76","4,030.65","4,042.21","3,980.28","48.19K","-0.12%"
"2014年3月5日","4,037.78","4,064.96","4,075.75","4,031.92","53.14K","-0.27%"
"2014年3月4日","4,048.72","4,045.20","4,061.83","4,016.03","42.94K","-0.25%"
"2014年3月3日","4,058.80","3,975.54","4,059.19","3,969.30","51.29K","2.08%"
