日期,收盘,开盘,高,低,交易量,涨跌幅
2014年1月13日,"1,494.61","1,500.86","1,510.32","1,489.23",1.71B,-0.24%
2014年1月10日,"1,498.27","1,500.01","1,506.78","1,493.50",1.69B,-0.37%
2014年1月9日,"1,503.88","1,511.98","1,525.73","1,500.57",1.63B,-0.76%
2014年1月8日,"1,515.33","1,512.09","1,527.89","1,504.43",1.77B,0.31%
2014年1月7日,"1,510.65","1,500.98","1,515.64","1,497.78",1.55B,-0.15%
2014年1月6日,"1,512.93","1,534.50","1,534.50","1,498.60",2.49B,-1.51%
2014年1月3日,"1,536.07","1,553.45","1,554.52","1,529.15",2.19B,-1.60%
2014年1月2日,"1,561.10","1,570.05","1,570.05","1,553.48",1.57B,-0.87%
2013年12月31日,"1,574.78","1,541.58","1,578.24","1,539.88",2.36B,1.74%
2013年12月30日,"1,547.92","1,557.51","1,560.11","1,544.11",1.79B,-0.15%
2013年12月27日,"1,550.22","1,528.35","1,559.82","1,524.19",1.94B,1.66%
2013年12月26日,"1,524.88","1,543.87","1,543.87","1,522.59",1.75B,-1.45%
2013年12月25日,"1,547.36","1,542.04","1,547.86","1,533.64",1.33B,0.50%
2013年12月24日,"1,539.60","1,547.20","1,557.23","1,528.16",1.52B,-0.11%
2013年12月23日,"1,541.27","1,541.37","1,553.56","1,528.65",1.55B,0.25%
2013年12月20日,"1,537.41","1,580.91","1,583.41","1,534.10",2.68B,-2.70%
2013年12月19日,"1,580.11","1,605.64","1,609.07","1,578.92",1.74B,-1.16%
2013年12月18日,"1,598.68","1,596.64","1,606.64","1,592.91",1.28B,0.09%
2013年12月17日,"1,597.27","1,604.71","1,607.43","1,593.43",1.55B,-0.32%
2013年12月16日,"1,602.46","1,627.10","1,631.09","1,601.69",1.97B,-1.47%
2013年12月13日,"1,626.41","1,617.31","1,631.56","1,614.97",1.65B,-0.34%
2013年12月12日,"1,631.91","1,634.47","1,641.97","1,628.62",1.69B,-0.44%
2013年12月11日,"1,639.18","1,662.09","1,662.25","1,632.73",2.43B,-1.88%
2013年12月10日,"1,670.55","1,673.52","1,679.45","1,664.03",1.93B,0.04%
2013年12月9日,"1,669.87","1,681.21","1,687.53","1,666.34",1.95B,-0.32%
2013年12月6日,"1,675.25","1,688.02","1,692.09","1,669.64",2.30B,-1.01%
2013年12月5日,"1,692.38","1,700.53","1,703.13","1,689.39",2.48B,-0.40%
2013年12月4日,"1,699.18","1,678.96","1,709.58","1,674.99",3.52B,1.05%
2013年12月3日,"1,681.51","1,672.20","1,686.36","1,663.62",2.62B,0.16%
2013年12月2日,"1,678.87","1,662.39","1,695.63","1,655.00",4.73B,1.05%
2013年11月29日,"1,661.41","1,668.95","1,671.44","1,656.73",1.95B,-0.19%
2013年11月28日,"1,664.62","1,651.63","1,680.82","1,648.96",2.82B,0.96%
2013年11月27日,"1,648.79","1,630.48","1,657.78","1,627.89",2.47B,1.09%
2013年11月26日,"1,630.94","1,633.84","1,641.38","1,628.70",1.66B,-0.17%
2013年11月25日,"1,633.78","1,633.84","1,659.33","1,628.91",2.27B,-0.53%
2013年11月22日,"1,642.50","1,651.94","1,655.65","1,637.99",2.44B,-0.34%
2013年11月21日,"1,648.09","1,654.45","1,654.45","1,626.08",2.77B,-0.94%
2013年11月20日,"1,663.76","1,671.55","1,676.46","1,652.39",2.32B,0.25%
2013年11月19日,"1,659.53","1,674.72","1,675.88","1,656.44",2.98B,-0.93%
2013年11月18日,"1,675.16","1,618.16","1,676.87","1,610.04",4.57B,4.38%
2013年11月15日,"1,604.82","1,573.91","1,622.85","1,573.68",2.98B,2.04%
2013年11月14日,"1,572.73","1,571.60","1,574.58","1,559.57",1.81B,0.22%
2013年11月13日,"1,569.24","1,599.00","1,599.19","1,568.16",2.02B,-2.58%
2013年11月12日,"1,610.78","1,595.65","1,611.54","1,595.65",1.57B,1.23%
2013年11月11日,"1,591.14","1,587.59","1,596.47","1,579.38",1.49B,0.23%
2013年11月8日,"1,587.44","1,603.22","1,613.41","1,585.62",1.69B,-1.44%
2013年11月7日,"1,610.58","1,615.51","1,619.37","1,601.60",1.59B,-0.22%
2013年11月6日,"1,614.21","1,623.85","1,630.83","1,613.36",1.87B,-1.19%
2013年11月5日,"1,633.66","1,629.79","1,637.44","1,611.24",1.96B,-0.30%
2013年11月4日,"1,638.51","1,654.11","1,659.76","1,635.34",1.65B,-0.38%
2013年11月1日,"1,644.75","1,633.03","1,650.53","1,628.12",2.06B,0.84%
2013年10月31日,"1,631.05","1,645.12","1,645.12","1,629.29",2.55B,-1.35%
2013年10月30日,"1,653.42","1,634.28","1,654.39","1,624.53",2.82B,1.21%
2013年10月29日,"1,633.72","1,615.43","1,655.93","1,606.34",3.64B,1.43%
2013年10月28日,"1,610.69","1,614.68","1,616.98","1,600.80",1.62B,-0.05%
2013年10月25日,"1,611.52","1,622.01","1,635.84","1,601.66",2.45B,-0.62%
2013年10月24日,"1,621.60","1,633.93","1,640.62","1,618.61",2.12B,-1.03%
2013年10月23日,"1,638.50","1,646.93","1,670.00","1,634.91",2.63B,-0.10%
2013年10月22日,"1,640.07","1,656.64","1,656.64","1,636.19",2.25B,-1.06%
2013年10月21日,"1,657.58","1,640.28","1,659.57","1,626.55",2.32B,1.27%
2013年10月18日,"1,636.80","1,630.55","1,647.77","1,628.09",1.88B,0.59%
2013年10月17日,"1,627.18","1,642.33","1,647.24","1,625.47",1.94B,-0.43%
2013年10月16日,"1,634.22","1,652.59","1,652.59","1,626.26",2.40B,-1.33%
2013年10月15日,"1,656.26","1,665.63","1,666.97","1,646.65",2.49B,-0.36%
2013年10月14日,"1,662.17","1,670.73","1,671.51","1,656.73",2.86B,-0.43%
2013年10月11日,"1,669.27","1,649.85","1,672.02","1,644.51",2.82B,1.91%
2013年10月10日,"1,637.93","1,670.79","1,671.10","1,635.27",2.52B,-1.83%
2013年10月9日,"1,668.48","1,653.09","1,673.04","1,647.38",2.38B,0.53%
2013年10月8日,"1,659.71","1,637.97","1,664.21","1,622.59",2.87B,1.01%
2013年9月30日,"1,643.06","1,648.15","1,653.24","1,634.93",1.72B,0.24%
2013年9月27日,"1,639.15","1,630.69","1,641.01","1,624.87",2.00B,0.40%
2013年9月26日,"1,632.69","1,658.18","1,658.18","1,629.90",2.89B,-1.74%
2013年9月25日,"1,661.61","1,671.54","1,687.13","1,658.02",2.48B,-0.71%
2013年9月24日,"1,673.56","1,709.99","1,710.11","1,660.22",3.45B,-2.31%
2013年9月23日,"1,713.08","1,707.90","1,716.09","1,694.94",2.86B,0.73%
2013年9月18日,"1,700.59","1,698.61","1,710.47","1,680.68",2.90B,0.12%
2013年9月17日,"1,698.63","1,744.38","1,748.71","1,697.11",4.15B,-2.28%
2013年9月16日,"1,738.25","1,763.92","1,765.47","1,722.67",4.74B,-0.63%
2013年9月13日,"1,749.24","1,764.03","1,776.50","1,742.98",3.87B,-1.32%
2013年9月12日,"1,772.66","1,741.49","1,798.96","1,726.10",6.03B,1.80%
2013年9月11日,"1,741.32","1,745.50","1,765.94","1,736.18",5.64B,0.22%
2013年9月10日,"1,737.58","1,720.39","1,738.35","1,704.64",6.16B,1.41%
2013年9月9日,"1,713.38","1,643.18","1,720.03","1,643.18",6.64B,5.38%
2013年9月6日,"1,625.85","1,604.77","1,630.29","1,604.20",2.35B,1.01%
2013年9月5日,"1,609.60","1,615.53","1,616.70","1,606.31",1.67B,-0.24%
2013年9月4日,"1,613.54","1,612.50","1,620.15","1,608.90",2.19B,-0.06%
2013年9月3日,"1,614.54","1,596.47","1,615.13","1,591.21",2.54B,1.42%
2013年9月2日,"1,591.93","1,594.99","1,601.14","1,579.72",2.48B,0.14%
2013年8月30日,"1,589.78","1,586.52","1,599.87","1,575.77",2.36B,0.10%
2013年8月29日,"1,588.15","1,604.28","1,607.02","1,580.81",2.06B,-0.30%
2013年8月28日,"1,592.87","1,591.35","1,603.95","1,577.49",2.80B,-0.57%
2013年8月27日,"1,602.00","1,598.74","1,609.06","1,589.05",1.92B,0.04%
2013年8月26日,"1,601.38","1,573.22","1,604.25","1,566.02",2.30B,2.24%
2013年8月23日,"1,566.29","1,591.75","1,595.94","1,543.00",2.11B,-1.03%
2013年8月22日,"1,582.62","1,582.33","1,606.35","1,578.31",1.78B,-0.34%
2013年8月21日,"1,588.08","1,601.30","1,602.94","1,575.46",1.84B,-0.41%
2013年8月20日,"1,594.54","1,603.39","1,628.68","1,588.22",2.74B,-0.89%
2013年8月19日,"1,608.87","1,576.57","1,617.33","1,574.02",2.68B,1.01%
2013年8月16日,"1,592.79","1,590.92","1,711.43","1,573.72",5.28B,-0.15%
2013年8月15日,"1,595.15","1,608.62","1,624.34","1,593.69",1.95B,-0.94%
2013年8月14日,"1,610.22","1,622.21","1,643.00","1,605.28",2.37B,-0.59%
2013年8月13日,"1,619.74","1,610.79","1,621.89","1,602.93",2.64B,0.59%
2013年8月12日,"1,610.26","1,560.16","1,610.81","1,557.56",3.68B,3.68%
2013年8月9日,"1,553.04","1,554.76","1,562.25","1,533.22",2.17B,0.55%
2013年8月8日,"1,544.62","1,548.41","1,561.34","1,538.61",1.51B,-0.42%
2013年8月7日,"1,551.15","1,554.88","1,575.69","1,548.49",2.16B,-0.33%
2013年8月6日,"1,556.30","1,547.61","1,564.48","1,533.24",1.95B,0.14%
2013年8月5日,"1,554.19","1,540.49","1,554.29","1,533.00",1.53B,1.15%
2013年8月2日,"1,536.50","1,550.89","1,558.83","1,533.94",1.81B,-0.09%
2013年8月1日,"1,537.81","1,513.80","1,541.16","1,508.80",2.01B,2.24%
2013年7月31日,"1,504.17","1,518.83","1,535.85","1,499.55",1.59B,0.22%
2013年7月30日,"1,500.94","1,490.82","1,524.43","1,483.57",1.89B,1.13%
2013年7月29日,"1,484.21","1,505.68","1,505.68","1,478.20",1.89B,-2.46%
2013年7月26日,"1,521.61","1,521.59","1,529.10","1,512.61",1.31B,-0.50%
2013年7月25日,"1,529.30","1,537.73","1,548.20","1,522.23",1.87B,-0.20%
2013年7月24日,"1,532.35","1,541.93","1,550.85","1,512.97",2.21B,-1.51%
2013年7月23日,"1,555.84","1,520.58","1,569.73","1,514.21",2.68B,2.76%
2013年7月22日,"1,514.05","1,493.99","1,515.15","1,485.06",1.97B,0.18%
2013年7月19日,"1,511.40","1,551.30","1,557.70","1,508.28",2.41B,-2.45%
2013年7月18日,"1,549.35","1,575.67","1,583.30","1,547.09",2.05B,-2.07%
2013年7月17日,"1,582.14","1,602.48","1,612.57","1,581.74",2.23B,-1.51%
2013年7月16日,"1,606.34","1,597.33","1,606.74","1,579.45",2.12B,0.10%
2013年7月15日,"1,604.66","1,599.03","1,631.99","1,582.83",2.80B,1.08%
2013年7月12日,"1,587.59","1,626.55","1,634.35","1,585.51",3.43B,-2.94%
2013年7月11日,"1,635.66","1,555.28","1,653.59","1,555.28",5.37B,5.75%
2013年7月10日,"1,546.74","1,505.71","1,547.32","1,500.77",2.36B,2.75%
2013年7月9日,"1,505.30","1,505.91","1,513.33","1,497.51",1.56B,-0.09%
2013年7月8日,"1,506.73","1,518.88","1,528.97","1,502.24",1.93B,-2.29%
2013年7月5日,"1,542.05","1,538.39","1,556.59","1,535.71",2.06B,0.44%
2013年7月4日,"1,535.32","1,511.52","1,550.08","1,503.45",2.37B,0.81%
2013年7月3日,"1,522.91","1,530.66","1,530.66","1,501.08",2.29B,-1.20%
2013年7月2日,"1,541.34","1,546.85","1,551.27","1,519.44",2.22B,-0.52%
2013年7月1日,"1,549.37","1,539.78","1,551.11","1,520.70",2.07B,-0.19%
2013年6月28日,"1,552.38","1,504.43","1,562.39","1,497.44",3.11B,2.66%
2013年6月27日,"1,512.20","1,511.49","1,530.16","1,498.28",2.65B,0.17%
2013年6月26日,"1,509.68","1,529.05","1,529.05","1,487.31",2.85B,-1.12%
2013年6月25日,"1,526.80","1,508.52","1,529.38","1,422.98",4.05B,0.11%
2013年6月24日,"1,525.17","1,625.44","1,625.44","1,524.28",3.33B,-6.61%
2013年6月21日,"1,633.16","1,606.97","1,645.93","1,598.47",2.12B,0.10%
2013年6月20日,"1,631.55","1,677.93","1,677.93","1,629.75",1.86B,-3.32%
2013年6月19日,"1,687.61","1,697.60","1,697.60","1,668.07",1.59B,-0.97%
2013年6月18日,"1,704.22","1,701.23","1,711.05","1,690.12",1.40B,0.69%
2013年6月17日,"1,692.48","1,709.48","1,712.94","1,689.49",1.46B,-0.68%
2013年6月14日,"1,704.15","1,703.08","1,706.96","1,692.31",1.83B,0.20%
2013年6月13日,"1,700.80","1,733.14","1,733.14","1,679.66",2.54B,-3.38%
2013年6月7日,"1,760.22","1,783.86","1,793.13","1,755.60",1.99B,-1.37%
2013年6月6日,"1,784.70","1,801.49","1,803.81","1,782.48",1.50B,-1.22%
2013年6月5日,"1,806.82","1,818.81","1,820.12","1,799.74",1.38B,-0.70%
2013年6月4日,"1,819.50","1,837.64","1,837.64","1,815.69",1.85B,-1.04%
2013年6月3日,"1,838.64","1,840.40","1,854.38","1,833.84",1.71B,-0.15%
2013年5月31日,"1,841.37","1,859.24","1,865.55","1,839.35",1.74B,-0.76%
2013年5月30日,"1,855.46","1,855.76","1,866.90","1,848.56",2.06B,-0.34%
2013年5月29日,"1,861.70","1,873.09","1,882.75","1,860.40",2.60B,-0.45%
2013年5月28日,"1,870.09","1,827.60","1,870.25","1,821.24",3.07B,2.34%
2013年5月27日,"1,827.26","1,825.22","1,838.85","1,821.16",1.79B,-0.10%
2013年5月24日,"1,829.14","1,831.72","1,842.86","1,814.57",1.62B,0.30%
2013年5月23日,"1,823.74","1,849.26","1,855.03","1,822.37",2.05B,-1.85%
2013年5月22日,"1,858.20","1,850.75","1,862.73","1,847.47",1.91B,0.38%
2013年5月21日,"1,851.08","1,858.14","1,863.03","1,840.20",1.98B,-0.55%
2013年5月20日,"1,861.25","1,848.32","1,877.27","1,841.42",2.97B,0.95%
2013年5月17日,"1,843.81","1,819.52","1,849.87","1,810.32",2.76B,1.23%
2013年5月16日,"1,821.45","1,785.71","1,822.67","1,770.41",2.44B,1.79%
2013年5月15日,"1,789.43","1,787.84","1,795.38","1,781.22",1.24B,0.22%
2013年5月14日,"1,785.57","1,806.18","1,807.03","1,776.69",1.83B,-1.39%
2013年5月13日,"1,810.72","1,819.56","1,823.04","1,800.31",1.74B,-0.46%
2013年5月10日,"1,819.12","1,804.18","1,823.47","1,798.99",1.63B,0.62%
